filename,status,set,number,fullName,imageField,sourceUrl,contentType
001 - 45 - Jafar - Wicked Sorcerer.jpg,downloaded,1,45,Jafar - Wicked Sorcerer,full,https://api.lorcana.ravensburger.com/images/en/set1/45_023babc1a5b7dd4685a6fd6622db8e87722e1e49.jpg,image/jpeg;charset=UTF-8
001 - 46 - Jetsam - Ursula's Spy.jpg,downloaded,1,46,Jetsam - Ursula's Spy,full,https://api.lorcana.ravensburger.com/images/en/set1/46_01f1336c2d69344ac9d004d2a20d7b02e88f3ddb.jpg,image/jpeg;charset=UTF-8
001 - 47 - Magic Broom - Bucket Brigade.jpg,downloaded,1,47,Magic Broom - Bucket Brigade,full,https://api.lorcana.ravensburger.com/images/en/set1/47_794a43e655cb2f3c22b5958c6e82f11ac820164b.jpg,image/jpeg;charset=UTF-8
001 - 48 - Maleficent - Biding Her Time.jpg,downloaded,1,48,Maleficent - Biding Her Time,full,https://api.lorcana.ravensburger.com/images/en/set1/48_4026147a113c16a740020b8d3e8b4b6016cd76ad.jpg,image/jpeg;charset=UTF-8
001 - 49 - Maleficent - Sorceress.jpg,downloaded,1,49,Maleficent - Sorceress,full,https://api.lorcana.ravensburger.com/images/en/set1/49_1faa08c58b7c1e3cc11da1656fb8a856b25e1f1f.jpg,image/jpeg;charset=UTF-8
001 - 50 - Marshmallow - Persistent Guardian.jpg,downloaded,1,50,Marshmallow - Persistent Guardian,full,https://api.lorcana.ravensburger.com/images/en/set1/50_079213f302aeb3fc38697cd80ad01e3470fd17aa.jpg,image/jpeg;charset=UTF-8
001 - 51 - Mickey Mouse - Wayward Sorcerer.jpg,downloaded,1,51,Mickey Mouse - Wayward Sorcerer,full,https://api.lorcana.ravensburger.com/images/en/set1/51_b6973a7151c12abc277263413ef2fcac7e6c7842.jpg,image/jpeg;charset=UTF-8
001 - 52 - Olaf - Friendly Snowman.jpg,downloaded,1,52,Olaf - Friendly Snowman,full,https://api.lorcana.ravensburger.com/images/en/set1/52_049adcbd58e97566051cd23bb3c3287975068d04.jpg,image/jpeg;charset=UTF-8
001 - 53 - Pascal - Rapunzel's Companion.jpg,downloaded,1,53,Pascal - Rapunzel's Companion,full,https://api.lorcana.ravensburger.com/images/en/set1/53_c42d7487384171487a54f1d15fa70ed692b2716e.jpg,image/jpeg;charset=UTF-8
001 - 54 - Rafiki - Mysterious Sage.jpg,downloaded,1,54,Rafiki - Mysterious Sage,full,https://api.lorcana.ravensburger.com/images/en/set1/54_987ad175e35f0dad21528341467302fa86e3dadc.jpg,image/jpeg;charset=UTF-8
001 - 55 - Sven - Official Ice Deliverer.jpg,downloaded,1,55,Sven - Official Ice Deliverer,full,https://api.lorcana.ravensburger.com/images/en/set1/55_dc9f5967f7566e3b7dff356a6efebec85d965b1f.jpg,image/jpeg;charset=UTF-8
001 - 56 - The Queen - Wicked and Vain.jpg,downloaded,1,56,The Queen - Wicked and Vain,full,https://api.lorcana.ravensburger.com/images/en/set1/56_6e201683d9efdf52de499f147def11167b896a67.jpg,image/jpeg;charset=UTF-8
